ID,Activo (0/1),Nombre,Categorías (x;y;z...),Precio unitario,SKU,Cantidad,Cantidad mínima,Descripción,Etiquetas,Meta-título,Meta descripción,Enlace-reescrito,url imagen,Característica (Nombre:Valor:Posición:personalizado)
1508,1,Calcetines Sushi Pack,192,"19,99 €",TCCALR0183,1,1,"<div style=""text-align: center;""> <p style=""text-align: left;"">Ninguna prenda de TedClothing encoge o destiñe. Usamos tintes naturales y no tienen sustancias nocivas (Certificación Oeko-Tex Standard 100). Cada prenda se hace bajo un proceso de tintado manual, con tintes hechos a base de agua, que respetan el medio ambiente. Nuestro sistema de impresión, es un sistema exclusivo que imprime directamente sobre las fibras de los productos garantizando realismo en los colores y larga durabilidad. Gracias a esto nuestras prendas se pueden planchar sin que se ponga en riesgo ninguna de sus propiedades.</p> <div style=""text-align: left;""> </div> <div style=""text-align: left;""> </div> <br /> <div style=""text-align: left;""><strong>Características:</strong></div> <div style=""text-align: left;""> </div> <br /> <div> <ul> <li style=""text-align: left;"">100% algodón Premium</li> <li style=""text-align: left;"">Pre-lavadas, siempre conservan sus propiedades</li> <li style=""text-align: left;"">Colores y dibujos realistas</li> <li style=""text-align: left;"">Tintes hechos con base de agua</li> <li style=""text-align: left;"">Libre de sustancias nocivas (Certificación Oeko-Tex Standard 100)</li> <li style=""text-align: left;"">Respetuoso con la sostenibilidad del medio ambiente</li> </ul> </div> </div> <p> </p> <div style=""text-align: center;""> </div> <div style=""text-align: center;""> </div> <div style=""text-align: center;""> </div> <div style=""text-align: center;""> </div> <div style=""text-align: left;""><span style=""font-size: small; text-align: left;""> <img src=""https://www.tedclothing.com/img/house_keeper.png"" alt="""" /><img src=""https://www.tedclothing.com/img/no_admite_cloro.png"" alt="""" /><img src=""https://www.tedclothing.com/img/planchado_suave.png"" alt="""" /><img src=""https://www.tedclothing.com/img/secado_medio.png"" alt="""" /><img src=""https://www.tedclothing.com/img/lavar_a_maquina.png"" alt="""" /></span></div>",,Calcetines Sushi Pack,"Ropa full-printing impresa en 3D. T-shirts, Sweatshirts, calcetines, Tank top, accesorios y mucho más. Todo impreso en algodón 100% con diseños hiperealistas.",calcetines-sushi-pack,https://www.tedclothing.com/img/subidas/TCCALR0183_01.jpg,Composición:100% algodón calidad superior:1;Cuidado:Lavado facil. Maquina o a mano.:2;Envio:Envío gratuito en 10 días para pedidos superior a 99€. Para pedidos inferiores 99€ el coste de envio es de 9.99€.:3
1509,1,Calcetines Spicy Chili,192,"19,99 €",TCCALR0184,1,1,"<div style=""text-align: center;""> <p style=""text-align: left;"">Ninguna prenda de TedClothing encoge o destiñe. Usamos tintes naturales y no tienen sustancias nocivas (Certificación Oeko-Tex Standard 100). Cada prenda se hace bajo un proceso de tintado manual, con tintes hechos a base de agua, que respetan el medio ambiente. Nuestro sistema de impresión, es un sistema exclusivo que imprime directamente sobre las fibras de los productos garantizando realismo en los colores y larga durabilidad. Gracias a esto nuestras prendas se pueden planchar sin que se ponga en riesgo ninguna de sus propiedades.</p> <div style=""text-align: left;""> </div> <div style=""text-align: left;""> </div> <br /> <div style=""text-align: left;""><strong>Características:</strong></div> <div style=""text-align: left;""> </div> <br /> <div> <ul> <li style=""text-align: left;"">100% algodón Premium</li> <li style=""text-align: left;"">Pre-lavadas, siempre conservan sus propiedades</li> <li style=""text-align: left;"">Colores y dibujos realistas</li> <li style=""text-align: left;"">Tintes hechos con base de agua</li> <li style=""text-align: left;"">Libre de sustancias nocivas (Certificación Oeko-Tex Standard 100)</li> <li style=""text-align: left;"">Respetuoso con la sostenibilidad del medio ambiente</li> </ul> </div> </div> <p> </p> <div style=""text-align: center;""> </div> <div style=""text-align: center;""> </div> <div style=""text-align: center;""> </div> <div style=""text-align: center;""> </div> <div style=""text-align: left;""><span style=""font-size: small; text-align: left;""> <img src=""https://www.tedclothing.com/img/house_keeper.png"" alt="""" /><img src=""https://www.tedclothing.com/img/no_admite_cloro.png"" alt="""" /><img src=""https://www.tedclothing.com/img/planchado_suave.png"" alt="""" /><img src=""https://www.tedclothing.com/img/secado_medio.png"" alt="""" /><img src=""https://www.tedclothing.com/img/lavar_a_maquina.png"" alt="""" /></span></div>",,Calcetines Spicy Chili,"Ropa full-printing impresa en 3D. T-shirts, Sweatshirts, calcetines, Tank top, accesorios y mucho más. Todo impreso en algodón 100% con diseños hiperealistas.",calcetines-spicy-chili,https://www.tedclothing.com/img/subidas/TCCALR0184_01.jpg,Composición:100% algodón calidad superior:1;Cuidado:Lavado facil. Maquina o a mano.:2;Envio:Envío gratuito en 10 días para pedidos superior a 99€. Para pedidos inferiores 99€ el coste de envio es de 9.99€.:3
1510,1,Calcetines Old News Papper,192,"19,99 €",TCCALR0185,1,1,"<div style=""text-align: center;""> <p style=""text-align: left;"">Ninguna prenda de TedClothing encoge o destiñe. Usamos tintes naturales y no tienen sustancias nocivas (Certificación Oeko-Tex Standard 100). Cada prenda se hace bajo un proceso de tintado manual, con tintes hechos a base de agua, que respetan el medio ambiente. Nuestro sistema de impresión, es un sistema exclusivo que imprime directamente sobre las fibras de los productos garantizando realismo en los colores y larga durabilidad. Gracias a esto nuestras prendas se pueden planchar sin que se ponga en riesgo ninguna de sus propiedades.</p> <div style=""text-align: left;""> </div> <div style=""text-align: left;""> </div> <br /> <div style=""text-align: left;""><strong>Características:</strong></div> <div style=""text-align: left;""> </div> <br /> <div> <ul> <li style=""text-align: left;"">100% algodón Premium</li> <li style=""text-align: left;"">Pre-lavadas, siempre conservan sus propiedades</li> <li style=""text-align: left;"">Colores y dibujos realistas</li> <li style=""text-align: left;"">Tintes hechos con base de agua</li> <li style=""text-align: left;"">Libre de sustancias nocivas (Certificación Oeko-Tex Standard 100)</li> <li style=""text-align: left;"">Respetuoso con la sostenibilidad del medio ambiente</li> </ul> </div> </div> <p> </p> <div style=""text-align: center;""> </div> <div style=""text-align: center;""> </div> <div style=""text-align: center;""> </div> <div style=""text-align: center;""> </div> <div style=""text-align: left;""><span style=""font-size: small; text-align: left;""> <img src=""https://www.tedclothing.com/img/house_keeper.png"" alt="""" /><img src=""https://www.tedclothing.com/img/no_admite_cloro.png"" alt="""" /><img src=""https://www.tedclothing.com/img/planchado_suave.png"" alt="""" /><img src=""https://www.tedclothing.com/img/secado_medio.png"" alt="""" /><img src=""https://www.tedclothing.com/img/lavar_a_maquina.png"" alt="""" /></span></div>",,Calcetines Old News Papper,"Ropa full-printing impresa en 3D. T-shirts, Sweatshirts, calcetines, Tank top, accesorios y mucho más. Todo impreso en algodón 100% con diseños hiperealistas.",calcetines-old-news-papper,https://www.tedclothing.com/img/subidas/TCCALR0185_01.jpg,Composición:100% algodón calidad superior:1;Cuidado:Lavado facil. Maquina o a mano.:2;Envio:Envío gratuito en 10 días para pedidos superior a 99€. Para pedidos inferiores 99€ el coste de envio es de 9.99€.:3
1511,1,Calcetines Vintage Mapamundi,192,"19,99 €",TCCALR0187,1,1,"<div style=""text-align: center;""> <p style=""text-align: left;"">Ninguna prenda de TedClothing encoge o destiñe. Usamos tintes naturales y no tienen sustancias nocivas (Certificación Oeko-Tex Standard 100). Cada prenda se hace bajo un proceso de tintado manual, con tintes hechos a base de agua, que respetan el medio ambiente. Nuestro sistema de impresión, es un sistema exclusivo que imprime directamente sobre las fibras de los productos garantizando realismo en los colores y larga durabilidad. Gracias a esto nuestras prendas se pueden planchar sin que se ponga en riesgo ninguna de sus propiedades.</p> <div style=""text-align: left;""> </div> <div style=""text-align: left;""> </div> <br /> <div style=""text-align: left;""><strong>Características:</strong></div> <div style=""text-align: left;""> </div> <br /> <div> <ul> <li style=""text-align: left;"">100% algodón Premium</li> <li style=""text-align: left;"">Pre-lavadas, siempre conservan sus propiedades</li> <li style=""text-align: left;"">Colores y dibujos realistas</li> <li style=""text-align: left;"">Tintes hechos con base de agua</li> <li style=""text-align: left;"">Libre de sustancias nocivas (Certificación Oeko-Tex Standard 100)</li> <li style=""text-align: left;"">Respetuoso con la sostenibilidad del medio ambiente</li> </ul> </div> </div> <p> </p> <div style=""text-align: center;""> </div> <div style=""text-align: center;""> </div> <div style=""text-align: center;""> </div> <div style=""text-align: center;""> </div> <div style=""text-align: left;""><span style=""font-size: small; text-align: left;""> <img src=""https://www.tedclothing.com/img/house_keeper.png"" alt="""" /><img src=""https://www.tedclothing.com/img/no_admite_cloro.png"" alt="""" /><img src=""https://www.tedclothing.com/img/planchado_suave.png"" alt="""" /><img src=""https://www.tedclothing.com/img/secado_medio.png"" alt="""" /><img src=""https://www.tedclothing.com/img/lavar_a_maquina.png"" alt="""" /></span></div>",,Calcetines Vintage Mapamundi,"Ropa full-printing impresa en 3D. T-shirts, Sweatshirts, calcetines, Tank top, accesorios y mucho más. Todo impreso en algodón 100% con diseños hiperealistas.",calcetines-vintage-mapamundi,https://www.tedclothing.com/img/subidas/TCCALR0187_01.jpg,Composición:100% algodón calidad superior:1;Cuidado:Lavado facil. Maquina o a mano.:2;Envio:Envío gratuito en 10 días para pedidos superior a 99€. Para pedidos inferiores 99€ el coste de envio es de 9.99€.:3
1512,1,Calcetines Alphabet,192,"19,99 €",TCCALR0189,1,1,"<div style=""text-align: center;""> <p style=""text-align: left;"">Ninguna prenda de TedClothing encoge o destiñe. Usamos tintes naturales y no tienen sustancias nocivas (Certificación Oeko-Tex Standard 100). Cada prenda se hace bajo un proceso de tintado manual, con tintes hechos a base de agua, que respetan el medio ambiente. Nuestro sistema de impresión, es un sistema exclusivo que imprime directamente sobre las fibras de los productos garantizando realismo en los colores y larga durabilidad. Gracias a esto nuestras prendas se pueden planchar sin que se ponga en riesgo ninguna de sus propiedades.</p> <div style=""text-align: left;""> </div> <div style=""text-align: left;""> </div> <br /> <div style=""text-align: left;""><strong>Características:</strong></div> <div style=""text-align: left;""> </div> <br /> <div> <ul> <li style=""text-align: left;"">100% algodón Premium</li> <li style=""text-align: left;"">Pre-lavadas, siempre conservan sus propiedades</li> <li style=""text-align: left;"">Colores y dibujos realistas</li> <li style=""text-align: left;"">Tintes hechos con base de agua</li> <li style=""text-align: left;"">Libre de sustancias nocivas (Certificación Oeko-Tex Standard 100)</li> <li style=""text-align: left;"">Respetuoso con la sostenibilidad del medio ambiente</li> </ul> </div> </div> <p> </p> <div style=""text-align: center;""> </div> <div style=""text-align: center;""> </div> <div style=""text-align: center;""> </div> <div style=""text-align: center;""> </div> <div style=""text-align: left;""><span style=""font-size: small; text-align: left;""> <img src=""https://www.tedclothing.com/img/house_keeper.png"" alt="""" /><img src=""https://www.tedclothing.com/img/no_admite_cloro.png"" alt="""" /><img src=""https://www.tedclothing.com/img/planchado_suave.png"" alt="""" /><img src=""https://www.tedclothing.com/img/secado_medio.png"" alt="""" /><img src=""https://www.tedclothing.com/img/lavar_a_maquina.png"" alt="""" /></span></div>",,Calcetines Alphabet,"Ropa full-printing impresa en 3D. T-shirts, Sweatshirts, calcetines, Tank top, accesorios y mucho más. Todo impreso en algodón 100% con diseños hiperealistas.",calcetines-alphabet,https://www.tedclothing.com/img/subidas/TCCALR0189_01.jpg,Composición:100% algodón calidad superior:1;Cuidado:Lavado facil. Maquina o a mano.:2;Envio:Envío gratuito en 10 días para pedidos superior a 99€. Para pedidos inferiores 99€ el coste de envio es de 9.99€.:3
1513,1,Calcetines Lego Texture,192,"19,99 €",TCCALR0190,1,1,"<div style=""text-align: center;""> <p style=""text-align: left;"">Ninguna prenda de TedClothing encoge o destiñe. Usamos tintes naturales y no tienen sustancias nocivas (Certificación Oeko-Tex Standard 100). Cada prenda se hace bajo un proceso de tintado manual, con tintes hechos a base de agua, que respetan el medio ambiente. Nuestro sistema de impresión, es un sistema exclusivo que imprime directamente sobre las fibras de los productos garantizando realismo en los colores y larga durabilidad. Gracias a esto nuestras prendas se pueden planchar sin que se ponga en riesgo ninguna de sus propiedades.</p> <div style=""text-align: left;""> </div> <div style=""text-align: left;""> </div> <br /> <div style=""text-align: left;""><strong>Características:</strong></div> <div style=""text-align: left;""> </div> <br /> <div> <ul> <li style=""text-align: left;"">100% algodón Premium</li> <li style=""text-align: left;"">Pre-lavadas, siempre conservan sus propiedades</li> <li style=""text-align: left;"">Colores y dibujos realistas</li> <li style=""text-align: left;"">Tintes hechos con base de agua</li> <li style=""text-align: left;"">Libre de sustancias nocivas (Certificación Oeko-Tex Standard 100)</li> <li style=""text-align: left;"">Respetuoso con la sostenibilidad del medio ambiente</li> </ul> </div> </div> <p> </p> <div style=""text-align: center;""> </div> <div style=""text-align: center;""> </div> <div style=""text-align: center;""> </div> <div style=""text-align: center;""> </div> <div style=""text-align: left;""><span style=""font-size: small; text-align: left;""> <img src=""https://www.tedclothing.com/img/house_keeper.png"" alt="""" /><img src=""https://www.tedclothing.com/img/no_admite_cloro.png"" alt="""" /><img src=""https://www.tedclothing.com/img/planchado_suave.png"" alt="""" /><img src=""https://www.tedclothing.com/img/secado_medio.png"" alt="""" /><img src=""https://www.tedclothing.com/img/lavar_a_maquina.png"" alt="""" /></span></div>",,Calcetines Lego Texture,"Ropa full-printing impresa en 3D. T-shirts, Sweatshirts, calcetines, Tank top, accesorios y mucho más. Todo impreso en algodón 100% con diseños hiperealistas.",calcetines-lego-texture,https://www.tedclothing.com/img/subidas/TCCALR0190_01.jpg,Composición:100% algodón calidad superior:1;Cuidado:Lavado facil. Maquina o a mano.:2;Envio:Envío gratuito en 10 días para pedidos superior a 99€. Para pedidos inferiores 99€ el coste de envio es de 9.99€.:3
1514,1,Calcetines Mini Toons,192,"19,99 €",TCCALR0192,1,1,"<div style=""text-align: center;""> <p style=""text-align: left;"">Ninguna prenda de TedClothing encoge o destiñe. Usamos tintes naturales y no tienen sustancias nocivas (Certificación Oeko-Tex Standard 100). Cada prenda se hace bajo un proceso de tintado manual, con tintes hechos a base de agua, que respetan el medio ambiente. Nuestro sistema de impresión, es un sistema exclusivo que imprime directamente sobre las fibras de los productos garantizando realismo en los colores y larga durabilidad. Gracias a esto nuestras prendas se pueden planchar sin que se ponga en riesgo ninguna de sus propiedades.</p> <div style=""text-align: left;""> </div> <div style=""text-align: left;""> </div> <br /> <div style=""text-align: left;""><strong>Características:</strong></div> <div style=""text-align: left;""> </div> <br /> <div> <ul> <li style=""text-align: left;"">100% algodón Premium</li> <li style=""text-align: left;"">Pre-lavadas, siempre conservan sus propiedades</li> <li style=""text-align: left;"">Colores y dibujos realistas</li> <li style=""text-align: left;"">Tintes hechos con base de agua</li> <li style=""text-align: left;"">Libre de sustancias nocivas (Certificación Oeko-Tex Standard 100)</li> <li style=""text-align: left;"">Respetuoso con la sostenibilidad del medio ambiente</li> </ul> </div> </div> <p> </p> <div style=""text-align: center;""> </div> <div style=""text-align: center;""> </div> <div style=""text-align: center;""> </div> <div style=""text-align: center;""> </div> <div style=""text-align: left;""><span style=""font-size: small; text-align: left;""> <img src=""https://www.tedclothing.com/img/house_keeper.png"" alt="""" /><img src=""https://www.tedclothing.com/img/no_admite_cloro.png"" alt="""" /><img src=""https://www.tedclothing.com/img/planchado_suave.png"" alt="""" /><img src=""https://www.tedclothing.com/img/secado_medio.png"" alt="""" /><img src=""https://www.tedclothing.com/img/lavar_a_maquina.png"" alt="""" /></span></div>",,Calcetines Mini Toons,"Ropa full-printing impresa en 3D. T-shirts, Sweatshirts, calcetines, Tank top, accesorios y mucho más. Todo impreso en algodón 100% con diseños hiperealistas.",calcetines-mini-toons,https://www.tedclothing.com/img/subidas/TCCALR0192_01.jpg,Composición:100% algodón calidad superior:1;Cuidado:Lavado facil. Maquina o a mano.:2;Envio:Envío gratuito en 10 días para pedidos superior a 99€. Para pedidos inferiores 99€ el coste de envio es de 9.99€.:3
1515,1,Calcetines Sweet Cupcakes,192,"19,99 €",TCCALR0196,1,1,"<div style=""text-align: center;""> <p style=""text-align: left;"">Ninguna prenda de TedClothing encoge o destiñe. Usamos tintes naturales y no tienen sustancias nocivas (Certificación Oeko-Tex Standard 100). Cada prenda se hace bajo un proceso de tintado manual, con tintes hechos a base de agua, que respetan el medio ambiente. Nuestro sistema de impresión, es un sistema exclusivo que imprime directamente sobre las fibras de los productos garantizando realismo en los colores y larga durabilidad. Gracias a esto nuestras prendas se pueden planchar sin que se ponga en riesgo ninguna de sus propiedades.</p> <div style=""text-align: left;""> </div> <div style=""text-align: left;""> </div> <br /> <div style=""text-align: left;""><strong>Características:</strong></div> <div style=""text-align: left;""> </div> <br /> <div> <ul> <li style=""text-align: left;"">100% algodón Premium</li> <li style=""text-align: left;"">Pre-lavadas, siempre conservan sus propiedades</li> <li style=""text-align: left;"">Colores y dibujos realistas</li> <li style=""text-align: left;"">Tintes hechos con base de agua</li> <li style=""text-align: left;"">Libre de sustancias nocivas (Certificación Oeko-Tex Standard 100)</li> <li style=""text-align: left;"">Respetuoso con la sostenibilidad del medio ambiente</li> </ul> </div> </div> <p> </p> <div style=""text-align: center;""> </div> <div style=""text-align: center;""> </div> <div style=""text-align: center;""> </div> <div style=""text-align: center;""> </div> <div style=""text-align: left;""><span style=""font-size: small; text-align: left;""> <img src=""https://www.tedclothing.com/img/house_keeper.png"" alt="""" /><img src=""https://www.tedclothing.com/img/no_admite_cloro.png"" alt="""" /><img src=""https://www.tedclothing.com/img/planchado_suave.png"" alt="""" /><img src=""https://www.tedclothing.com/img/secado_medio.png"" alt="""" /><img src=""https://www.tedclothing.com/img/lavar_a_maquina.png"" alt="""" /></span></div>",,Calcetines Sweet Cupcakes,"Ropa full-printing impresa en 3D. T-shirts, Sweatshirts, calcetines, Tank top, accesorios y mucho más. Todo impreso en algodón 100% con diseños hiperealistas.",calcetines-sweet-cupcakes,https://www.tedclothing.com/img/subidas/TCCALR0196_01.jpg,Composición:100% algodón calidad superior:1;Cuidado:Lavado facil. Maquina o a mano.:2;Envio:Envío gratuito en 10 días para pedidos superior a 99€. Para pedidos inferiores 99€ el coste de envio es de 9.99€.:3
1516,1,Calcetines Blue Marine,192,"19,99 €",TCCALR0201,1,1,"<div style=""text-align: center;""> <p style=""text-align: left;"">Ninguna prenda de TedClothing encoge o destiñe. Usamos tintes naturales y no tienen sustancias nocivas (Certificación Oeko-Tex Standard 100). Cada prenda se hace bajo un proceso de tintado manual, con tintes hechos a base de agua, que respetan el medio ambiente. Nuestro sistema de impresión, es un sistema exclusivo que imprime directamente sobre las fibras de los productos garantizando realismo en los colores y larga durabilidad. Gracias a esto nuestras prendas se pueden planchar sin que se ponga en riesgo ninguna de sus propiedades.</p> <div style=""text-align: left;""> </div> <div style=""text-align: left;""> </div> <br /> <div style=""text-align: left;""><strong>Características:</strong></div> <div style=""text-align: left;""> </div> <br /> <div> <ul> <li style=""text-align: left;"">100% algodón Premium</li> <li style=""text-align: left;"">Pre-lavadas, siempre conservan sus propiedades</li> <li style=""text-align: left;"">Colores y dibujos realistas</li> <li style=""text-align: left;"">Tintes hechos con base de agua</li> <li style=""text-align: left;"">Libre de sustancias nocivas (Certificación Oeko-Tex Standard 100)</li> <li style=""text-align: left;"">Respetuoso con la sostenibilidad del medio ambiente</li> </ul> </div> </div> <p> </p> <div style=""text-align: center;""> </div> <div style=""text-align: center;""> </div> <div style=""text-align: center;""> </div> <div style=""text-align: center;""> </div> <div style=""text-align: left;""><span style=""font-size: small; text-align: left;""> <img src=""https://www.tedclothing.com/img/house_keeper.png"" alt="""" /><img src=""https://www.tedclothing.com/img/no_admite_cloro.png"" alt="""" /><img src=""https://www.tedclothing.com/img/planchado_suave.png"" alt="""" /><img src=""https://www.tedclothing.com/img/secado_medio.png"" alt="""" /><img src=""https://www.tedclothing.com/img/lavar_a_maquina.png"" alt="""" /></span></div>",,Calcetines Blue Marine,"Ropa full-printing impresa en 3D. T-shirts, Sweatshirts, calcetines, Tank top, accesorios y mucho más. Todo impreso en algodón 100% con diseños hiperealistas.",calcetines-blue-marine,https://www.tedclothing.com/img/subidas/TCCALR0201_01.jpg,Composición:100% algodón calidad superior:1;Cuidado:Lavado facil. Maquina o a mano.:2;Envio:Envío gratuito en 10 días para pedidos superior a 99€. Para pedidos inferiores 99€ el coste de envio es de 9.99€.:3
1517,1,Calcetines Crafty,192,"19,99 €",TCCALR0202,1,1,"<div style=""text-align: center;""> <p style=""text-align: left;"">Ninguna prenda de TedClothing encoge o destiñe. Usamos tintes naturales y no tienen sustancias nocivas (Certificación Oeko-Tex Standard 100). Cada prenda se hace bajo un proceso de tintado manual, con tintes hechos a base de agua, que respetan el medio ambiente. Nuestro sistema de impresión, es un sistema exclusivo que imprime directamente sobre las fibras de los productos garantizando realismo en los colores y larga durabilidad. Gracias a esto nuestras prendas se pueden planchar sin que se ponga en riesgo ninguna de sus propiedades.</p> <div style=""text-align: left;""> </div> <div style=""text-align: left;""> </div> <br /> <div style=""text-align: left;""><strong>Características:</strong></div> <div style=""text-align: left;""> </div> <br /> <div> <ul> <li style=""text-align: left;"">100% algodón Premium</li> <li style=""text-align: left;"">Pre-lavadas, siempre conservan sus propiedades</li> <li style=""text-align: left;"">Colores y dibujos realistas</li> <li style=""text-align: left;"">Tintes hechos con base de agua</li> <li style=""text-align: left;"">Libre de sustancias nocivas (Certificación Oeko-Tex Standard 100)</li> <li style=""text-align: left;"">Respetuoso con la sostenibilidad del medio ambiente</li> </ul> </div> </div> <p> </p> <div style=""text-align: center;""> </div> <div style=""text-align: center;""> </div> <div style=""text-align: center;""> </div> <div style=""text-align: center;""> </div> <div style=""text-align: left;""><span style=""font-size: small; text-align: left;""> <img src=""https://www.tedclothing.com/img/house_keeper.png"" alt="""" /><img src=""https://www.tedclothing.com/img/no_admite_cloro.png"" alt="""" /><img src=""https://www.tedclothing.com/img/planchado_suave.png"" alt="""" /><img src=""https://www.tedclothing.com/img/secado_medio.png"" alt="""" /><img src=""https://www.tedclothing.com/img/lavar_a_maquina.png"" alt="""" /></span></div>",,Calcetines Crafty,"Ropa full-printing impresa en 3D. T-shirts, Sweatshirts, calcetines, Tank top, accesorios y mucho más. Todo impreso en algodón 100% con diseños hiperealistas.",calcetines-crafty,https://www.tedclothing.com/img/subidas/TCCALR0202_01.jpg,Composición:100% algodón calidad superior:1;Cuidado:Lavado facil. Maquina o a mano.:2;Envio:Envío gratuito en 10 días para pedidos superior a 99€. Para pedidos inferiores 99€ el coste de envio es de 9.99€.:3
1518,1,Calcetines Sky Art,192,"19,99 €",TCCALR0203,1,1,"<div style=""text-align: center;""> <p style=""text-align: left;"">Ninguna prenda de TedClothing encoge o destiñe. Usamos tintes naturales y no tienen sustancias nocivas (Certificación Oeko-Tex Standard 100). Cada prenda se hace bajo un proceso de tintado manual, con tintes hechos a base de agua, que respetan el medio ambiente. Nuestro sistema de impresión, es un sistema exclusivo que imprime directamente sobre las fibras de los productos garantizando realismo en los colores y larga durabilidad. Gracias a esto nuestras prendas se pueden planchar sin que se ponga en riesgo ninguna de sus propiedades.</p> <div style=""text-align: left;""> </div> <div style=""text-align: left;""> </div> <br /> <div style=""text-align: left;""><strong>Características:</strong></div> <div style=""text-align: left;""> </div> <br /> <div> <ul> <li style=""text-align: left;"">100% algodón Premium</li> <li style=""text-align: left;"">Pre-lavadas, siempre conservan sus propiedades</li> <li style=""text-align: left;"">Colores y dibujos realistas</li> <li style=""text-align: left;"">Tintes hechos con base de agua</li> <li style=""text-align: left;"">Libre de sustancias nocivas (Certificación Oeko-Tex Standard 100)</li> <li style=""text-align: left;"">Respetuoso con la sostenibilidad del medio ambiente</li> </ul> </div> </div> <p> </p> <div style=""text-align: center;""> </div> <div style=""text-align: center;""> </div> <div style=""text-align: center;""> </div> <div style=""text-align: center;""> </div> <div style=""text-align: left;""><span style=""font-size: small; text-align: left;""> <img src=""https://www.tedclothing.com/img/house_keeper.png"" alt="""" /><img src=""https://www.tedclothing.com/img/no_admite_cloro.png"" alt="""" /><img src=""https://www.tedclothing.com/img/planchado_suave.png"" alt="""" /><img src=""https://www.tedclothing.com/img/secado_medio.png"" alt="""" /><img src=""https://www.tedclothing.com/img/lavar_a_maquina.png"" alt="""" /></span></div>",,Calcetines Sky Art,"Ropa full-printing impresa en 3D. T-shirts, Sweatshirts, calcetines, Tank top, accesorios y mucho más. Todo impreso en algodón 100% con diseños hiperealistas.",calcetines-sky-art,https://www.tedclothing.com/img/subidas/TCCALR0203_01.jpg,Composición:100% algodón calidad superior:1;Cuidado:Lavado facil. Maquina o a mano.:2;Envio:Envío gratuito en 10 días para pedidos superior a 99€. Para pedidos inferiores 99€ el coste de envio es de 9.99€.:3
1519,1,Calcetines Geometric Fox,192,"19,99 €",TCCALR0204,1,1,"<div style=""text-align: center;""> <p style=""text-align: left;"">Ninguna prenda de TedClothing encoge o destiñe. Usamos tintes naturales y no tienen sustancias nocivas (Certificación Oeko-Tex Standard 100). Cada prenda se hace bajo un proceso de tintado manual, con tintes hechos a base de agua, que respetan el medio ambiente. Nuestro sistema de impresión, es un sistema exclusivo que imprime directamente sobre las fibras de los productos garantizando realismo en los colores y larga durabilidad. Gracias a esto nuestras prendas se pueden planchar sin que se ponga en riesgo ninguna de sus propiedades.</p> <div style=""text-align: left;""> </div> <div style=""text-align: left;""> </div> <br /> <div style=""text-align: left;""><strong>Características:</strong></div> <div style=""text-align: left;""> </div> <br /> <div> <ul> <li style=""text-align: left;"">100% algodón Premium</li> <li style=""text-align: left;"">Pre-lavadas, siempre conservan sus propiedades</li> <li style=""text-align: left;"">Colores y dibujos realistas</li> <li style=""text-align: left;"">Tintes hechos con base de agua</li> <li style=""text-align: left;"">Libre de sustancias nocivas (Certificación Oeko-Tex Standard 100)</li> <li style=""text-align: left;"">Respetuoso con la sostenibilidad del medio ambiente</li> </ul> </div> </div> <p> </p> <div style=""text-align: center;""> </div> <div style=""text-align: center;""> </div> <div style=""text-align: center;""> </div> <div style=""text-align: center;""> </div> <div style=""text-align: left;""><span style=""font-size: small; text-align: left;""> <img src=""https://www.tedclothing.com/img/house_keeper.png"" alt="""" /><img src=""https://www.tedclothing.com/img/no_admite_cloro.png"" alt="""" /><img src=""https://www.tedclothing.com/img/planchado_suave.png"" alt="""" /><img src=""https://www.tedclothing.com/img/secado_medio.png"" alt="""" /><img src=""https://www.tedclothing.com/img/lavar_a_maquina.png"" alt="""" /></span></div>",,Calcetines Geometric Fox,"Ropa full-printing impresa en 3D. T-shirts, Sweatshirts, calcetines, Tank top, accesorios y mucho más. Todo impreso en algodón 100% con diseños hiperealistas.",calcetines-geometric-fox,https://www.tedclothing.com/img/subidas/TCCALR0204_01.jpg,Composición:100% algodón calidad superior:1;Cuidado:Lavado facil. Maquina o a mano.:2;Envio:Envío gratuito en 10 días para pedidos superior a 99€. Para pedidos inferiores 99€ el coste de envio es de 9.99€.:3
